Feature: workclass | Category: State-gov | Precision: 0.770 | Recall: 0.246 Fbeta: 0.373 | Number of samples: 1298
Feature: workclass | Category: Self-emp-not-inc | Precision: 0.752 | Recall: 0.280 Fbeta: 0.408 | Number of samples: 2541
Feature: workclass | Category: Private | Precision: 0.697 | Recall: 0.252 Fbeta: 0.371 | Number of samples: 22696
Feature: workclass | Category: Federal-gov | Precision: 0.718 | Recall: 0.213 Fbeta: 0.328 | Number of samples: 960
Feature: workclass | Category: Local-gov | Precision: 0.677 | Recall: 0.238 Fbeta: 0.353 | Number of samples: 2093
Feature: workclass | Category: ? | Precision: 0.546 | Recall: 0.277 Fbeta: 0.368 | Number of samples: 1836
Feature: workclass | Category: Self-emp-inc | Precision: 0.921 | Recall: 0.354 Fbeta: 0.511 | Number of samples: 1116
Feature: workclass | Category: Without-pay | Precision: 1.000 | Recall: 1.000 Fbeta: 1.000 | Number of samples: 14
Feature: workclass | Category: Never-worked | Precision: 1.000 | Recall: 1.000 Fbeta: 1.000 | Number of samples: 7
Feature: education | Category: Bachelors | Precision: 0.829 | Recall: 0.277 Fbeta: 0.416 | Number of samples: 5355
Feature: education | Category: HS-grad | Precision: 0.556 | Recall: 0.210 Fbeta: 0.304 | Number of samples: 10501
Feature: education | Category: 11th | Precision: 0.558 | Recall: 0.400 Fbeta: 0.466 | Number of samples: 1175
Feature: education | Category: Masters | Precision: 0.876 | Recall: 0.311 Fbeta: 0.459 | Number of samples: 1723
Feature: education | Category: 9th | Precision: 0.300 | Recall: 0.111 Fbeta: 0.162 | Number of samples: 514
Feature: education | Category: Some-college | Precision: 0.615 | Recall: 0.218 Fbeta: 0.322 | Number of samples: 7291
Feature: education | Category: Assoc-acdm | Precision: 0.725 | Recall: 0.249 Fbeta: 0.371 | Number of samples: 1067
Feature: education | Category: Assoc-voc | Precision: 0.664 | Recall: 0.235 Fbeta: 0.348 | Number of samples: 1382
Feature: education | Category: 7th-8th | Precision: 0.292 | Recall: 0.175 Fbeta: 0.219 | Number of samples: 646
Feature: education | Category: Doctorate | Precision: 0.958 | Recall: 0.301 Fbeta: 0.458 | Number of samples: 413
Feature: education | Category: Prof-school | Precision: 0.961 | Recall: 0.404 Fbeta: 0.569 | Number of samples: 576
Feature: education | Category: 5th-6th | Precision: 0.267 | Recall: 0.250 Fbeta: 0.258 | Number of samples: 333
Feature: education | Category: 10th | Precision: 0.424 | Recall: 0.226 Fbeta: 0.295 | Number of samples: 933
Feature: education | Category: 1st-4th | Precision: 0.333 | Recall: 0.167 Fbeta: 0.222 | Number of samples: 168
Feature: education | Category: Preschool | Precision: 0.000 | Recall: 1.000 Fbeta: 0.000 | Number of samples: 51
Feature: education | Category: 12th | Precision: 0.500 | Recall: 0.212 Fbeta: 0.298 | Number of samples: 433
Feature: marital-status | Category: Never-married | Precision: 0.398 | Recall: 0.358 Fbeta: 0.377 | Number of samples: 10683
Feature: marital-status | Category: Married-civ-spouse | Precision: 0.822 | Recall: 0.247 Fbeta: 0.380 | Number of samples: 14976
Feature: marital-status | Category: Divorced | Precision: 0.551 | Recall: 0.317 Fbeta: 0.403 | Number of samples: 4443
Feature: marital-status | Category: Married-spouse-absent | Precision: 0.556 | Recall: 0.294 Fbeta: 0.385 | Number of samples: 418
Feature: marital-status | Category: Separated | Precision: 0.500 | Recall: 0.348 Fbeta: 0.411 | Number of samples: 1025
Feature: marital-status | Category: Married-AF-spouse | Precision: 1.000 | Recall: 0.100 Fbeta: 0.182 | Number of samples: 23
Feature: marital-status | Category: Widowed | Precision: 0.526 | Recall: 0.353 Fbeta: 0.423 | Number of samples: 993
Feature: occupation | Category: Adm-clerical | Precision: 0.511 | Recall: 0.231 Fbeta: 0.318 | Number of samples: 3770
Feature: occupation | Category: Exec-managerial | Precision: 0.891 | Recall: 0.296 Fbeta: 0.444 | Number of samples: 4066
Feature: occupation | Category: Handlers-cleaners | Precision: 0.377 | Recall: 0.233 Fbeta: 0.288 | Number of samples: 1370
Feature: occupation | Category: Prof-specialty | Precision: 0.837 | Recall: 0.293 Fbeta: 0.434 | Number of samples: 4140
Feature: occupation | Category: Other-service | Precision: 0.289 | Recall: 0.190 Fbeta: 0.229 | Number of samples: 3295
Feature: occupation | Category: Sales | Precision: 0.754 | Recall: 0.262 Fbeta: 0.389 | Number of samples: 3650
Feature: occupation | Category: Craft-repair | Precision: 0.607 | Recall: 0.210 Fbeta: 0.312 | Number of samples: 4099
Feature: occupation | Category: Transport-moving | Precision: 0.613 | Recall: 0.203 Fbeta: 0.305 | Number of samples: 1597
Feature: occupation | Category: Farming-fishing | Precision: 0.552 | Recall: 0.322 Fbeta: 0.407 | Number of samples: 994
Feature: occupation | Category: Machine-op-inspct | Precision: 0.480 | Recall: 0.188 Fbeta: 0.270 | Number of samples: 2002
Feature: occupation | Category: Tech-support | Precision: 0.718 | Recall: 0.198 Fbeta: 0.310 | Number of samples: 928
Feature: occupation | Category: ? | Precision: 0.546 | Recall: 0.277 Fbeta: 0.368 | Number of samples: 1843
Feature: occupation | Category: Protective-serv | Precision: 0.702 | Recall: 0.190 Fbeta: 0.299 | Number of samples: 649
Feature: occupation | Category: Armed-Forces | Precision: 1.000 | Recall: 0.000 Fbeta: 0.000 | Number of samples: 9
Feature: occupation | Category: Priv-house-serv | Precision: 0.500 | Recall: 1.000 Fbeta: 0.667 | Number of samples: 149
Feature: relationship | Category: Not-in-family | Precision: 0.526 | Recall: 0.334 Fbeta: 0.409 | Number of samples: 8305
Feature: relationship | Category: Husband | Precision: 0.831 | Recall: 0.247 Fbeta: 0.381 | Number of samples: 13193
Feature: relationship | Category: Wife | Precision: 0.782 | Recall: 0.246 Fbeta: 0.374 | Number of samples: 1568
Feature: relationship | Category: Own-child | Precision: 0.178 | Recall: 0.358 Fbeta: 0.238 | Number of samples: 5068
