feature,feature value,n_samples,precision,recall,fbeta
workclass,Private,4554,0.7894131185270425,0.6894472361809045,0.7360515021459227
workclass,?,373,0.8518518518518519,0.5609756097560976,0.6764705882352942
workclass,Self-emp-not-inc,480,0.8163265306122449,0.5714285714285714,0.6722689075630253
workclass,Federal-gov,175,0.75,0.8636363636363636,0.8028169014084507
workclass,State-gov,280,0.7230769230769231,0.8103448275862069,0.7642276422764228
workclass,Local-gov,432,0.813953488372093,0.8203125,0.8171206225680934
workclass,Self-emp-inc,214,0.8688524590163934,0.8412698412698413,0.8548387096774194
workclass,Without-pay,3,1.0,1.0,1.0
workclass,Never-worked,2,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
education,9th,115,1.0,0.42857142857142855,0.6
education,Some-college,1494,0.7285067873303167,0.6168582375478927,0.6680497925311203
education,HS-grad,2073,0.8020833333333334,0.4583333333333333,0.5833333333333334
education,Masters,353,0.8390243902439024,0.8775510204081632,0.85785536159601
education,Bachelors,1038,0.7953091684434968,0.8515981735159818,0.8224917309812569
education,Assoc-voc,301,0.7397260273972602,0.6923076923076923,0.7152317880794702
education,11th,243,1.0,0.625,0.7692307692307693
education,Doctorate,79,0.835820895522388,0.9491525423728814,0.8888888888888888
education,Prof-school,113,0.9069767441860465,0.9397590361445783,0.9230769230769231
education,10th,187,0.7142857142857143,0.2777777777777778,0.4
education,Preschool,14,1.0,1.0,1.0
education,7th-8th,123,0.25,0.25,0.25
education,5th-6th,71,1.0,0.3333333333333333,0.5
education,Assoc-acdm,194,0.7843137254901961,0.7547169811320755,0.7692307692307693
education,12th,84,0.5,0.1111111111111111,0.18181818181818182
education,1st-4th,31,1.0,0.0,0.0
feature,feature value,n_samples,precision,recall,fbeta
marital-status,Married-civ-spouse,2940,0.7957342083675144,0.7309721175584024,0.7619795758051846
marital-status,Divorced,908,0.8421052631578947,0.4948453608247423,0.6233766233766234
marital-status,Never-married,2175,0.7901234567901234,0.6881720430107527,0.735632183908046
marital-status,Married-spouse-absent,86,0.4,0.5,0.4444444444444444
marital-status,Separated,201,0.9090909090909091,0.6666666666666666,0.7692307692307693
marital-status,Widowed,197,0.7777777777777778,0.4666666666666667,0.5833333333333334
marital-status,Married-AF-spouse,6,0.75,1.0,0.8571428571428571
feature,feature value,n_samples,precision,recall,fbeta
occupation,Protective-serv,126,0.8536585365853658,0.7954545454545454,0.8235294117647058
occupation,Adm-clerical,742,0.6666666666666666,0.7142857142857143,0.6896551724137931
occupation,?,375,0.8518518518518519,0.5609756097560976,0.6764705882352942
occupation,Transport-moving,337,0.8709677419354839,0.34615384615384615,0.4954128440366973
occupation,Craft-repair,802,0.7913043478260869,0.44607843137254904,0.5705329153605015
occupation,Handlers-cleaners,271,0.7692307692307693,0.47619047619047616,0.5882352941176471
occupation,Exec-managerial,796,0.824607329842932,0.8203125,0.8224543080939948
occupation,Sales,732,0.8216216216216217,0.7715736040609137,0.7958115183246073
occupation,Other-service,691,0.8181818181818182,0.42857142857142855,0.5625
occupation,Prof-specialty,847,0.779746835443038,0.875,0.8246318607764391
occupation,Machine-op-inspct,395,0.7241379310344828,0.42,0.5316455696202531
occupation,Farming-fishing,190,0.9090909090909091,0.4,0.5555555555555556
occupation,Tech-support,180,0.7678571428571429,0.8113207547169812,0.7889908256880734
occupation,Priv-house-serv,29,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
relationship,Husband,2598,0.7985004686035614,0.7257240204429302,0.7603748326639893
relationship,Wife,308,0.773972602739726,0.7902097902097902,0.7820069204152249
relationship,Not-in-family,1671,0.8115942028985508,0.6473988439306358,0.7202572347266881
relationship,Own-child,1019,0.75,0.46153846153846156,0.5714285714285714
relationship,Unmarried,713,0.8,0.38095238095238093,0.5161290322580645
relationship,Other-relative,204,0.7142857142857143,0.5555555555555556,0.625
feature,feature value,n_samples,precision,recall,fbeta
race,White,5558,0.7916337805840569,0.7118523775727467,0.749626307922272
race,Other,66,0.8571428571428571,0.75,0.8
race,Asian-Pac-Islander,193,0.7843137254901961,0.7843137254901961,0.7843137254901961
race,Black,639,0.9,0.6428571428571429,0.75
race,Amer-Indian-Eskimo,57,1.0,0.5,0.6666666666666666
feature,feature value,n_samples,precision,recall,fbeta
sex,Male,4321,0.7976291278577476,0.714177407126611,0.7536
sex,Female,2192,0.7902439024390244,0.6893617021276596,0.7363636363636363
feature,feature value,n_samples,precision,recall,fbeta
native-country,Guatemala,9,1.0,1.0,1.0
native-country,United-States,5822,0.7918983320095314,0.7075940383250532,0.7473763118440779
native-country,Dominican-Republic,13,1.0,1.0,1.0
native-country,?,112,0.8695652173913043,0.7142857142857143,0.7843137254901961
native-country,Mexico,145,1.0,0.5833333333333334,0.7368421052631579
native-country,El-Salvador,30,1.0,1.0,1.0
native-country,Philippines,38,0.8571428571428571,0.8,0.8275862068965517
native-country,Japan,11,1.0,0.75,0.8571428571428571
native-country,Canada,24,0.8,0.8,0.8
native-country,Jamaica,15,0.0,0.0,0.0
native-country,South,18,1.0,0.75,0.8571428571428571
native-country,Hungary,3,1.0,1.0,1.0
native-country,England,21,0.8571428571428571,0.75,0.8
native-country,Taiwan,13,0.8,1.0,0.8888888888888888
native-country,Honduras,3,1.0,1.0,1.0
native-country,Germany,27,0.8333333333333334,0.8333333333333334,0.8333333333333334
native-country,Cuba,25,1.0,0.7142857142857143,0.8333333333333334
native-country,Columbia,15,1.0,1.0,1.0
native-country,India,15,0.8571428571428571,1.0,0.9230769230769231
native-country,Ireland,6,1.0,1.0,1.0
native-country,Poland,15,1.0,0.25,0.4
native-country,Portugal,6,1.0,0.0,0.0
native-country,Iran,8,1.0,0.75,0.8571428571428571
native-country,Vietnam,10,1.0,1.0,1.0
native-country,Laos,3,0.0,1.0,0.0
native-country,China,15,0.3333333333333333,0.5,0.4
native-country,Italy,14,1.0,0.75,0.8571428571428571
native-country,Haiti,10,1.0,1.0,1.0
native-country,Thailand,3,1.0,1.0,1.0
native-country,Trinadad&Tobago,4,0.5,1.0,0.6666666666666666
native-country,Greece,7,0.3333333333333333,1.0,0.5
native-country,Cambodia,6,0.6666666666666666,1.0,0.8
native-country,Peru,4,1.0,1.0,1.0
native-country,Puerto-Rico,17,1.0,1.0,1.0
native-country,France,5,1.0,0.5,0.6666666666666666
native-country,Ecuador,3,0.0,1.0,0.0
native-country,Scotland,5,1.0,0.0,0.0
native-country,Nicaragua,4,1.0,1.0,1.0
native-country,Hong,4,1.0,1.0,1.0
native-country,Outlying-US(Guam-USVI-etc),3,1.0,1.0,1.0
native-country,Yugoslavia,2,1.0,0.5,0.6666666666666666
